source,data,timestamp,current_machine_status,prev_machine_status,Unnamed: 5
button,pressed,2022-03-07 08:10:02.546000+00:00,waiting,,
laundry_view,status changed,2022-03-07 02:48:55.746000+00:00,waiting,busy,
laundry_view,status set,2022-03-07 02:48:25.319000+00:00,busy,,
laundry_view,status set,2022-03-07 02:12:19.964000+00:00,busy,,
button,pressed,2022-03-07 01:53:29.996000+00:00,waiting,,
laundry_view,status changed,2022-03-07 01:50:11.825000+00:00,waiting,busy,
laundry_view,status set,2022-03-07 01:49:41.243000+00:00,busy,,
laundry_view,status set,2022-03-07 01:39:32.284000+00:00,busy,,
button,pressed,2022-03-07 01:39:10.749000+00:00,busy,,
laundry_view,status set,2022-03-07 01:39:01.787000+00:00,busy,,
laundry_view,status set,2022-03-07 01:11:38.932000+00:00,busy,,
button,pressed,2022-03-07 00:49:27.076000+00:00,waiting,,
laundry_view,status changed,2022-03-07 00:45:00.382000+00:00,waiting,busy,
laundry_view,status set,2022-03-07 00:44:29.875000+00:00,busy,,
laundry_view,status set,2022-03-07 00:06:56.862000+00:00,busy,,
button,pressed,2022-03-06 20:29:22.806000+00:00,waiting,,
laundry_view,status changed,2022-03-06 20:27:11.626000+00:00,waiting,busy,
laundry_view,status set,2022-03-06 20:26:41.253000+00:00,busy,,
laundry_view,status set,2022-03-06 19:44:56.122000+00:00,busy,,
button,pressed,2022-03-06 19:10:56.570000+00:00,waiting,,
laundry_view,status changed,2022-03-06 19:04:40.095000+00:00,waiting,busy,
laundry_view,status set,2022-03-06 18:27:07.706000+00:00,busy,,
button,pressed,2022-03-06 17:11:16.630000+00:00,waiting,,
laundry_view,status changed,2022-03-06 17:06:41.798000+00:00,waiting,busy,
laundry_view,status set,2022-03-06 17:06:11.452000+00:00,busy,,
laundry_view,status set,2022-03-06 16:28:07.005000+00:00,busy,,
button,pressed,2022-03-06 15:42:26.603000+00:00,waiting,,
laundry_view,status changed,2022-03-06 15:36:20.697000+00:00,waiting,busy,
laundry_view,status set,2022-03-06 15:35:50.283000+00:00,busy,,
laundry_view,status set,2022-03-06 14:56:13.437000+00:00,busy,,
laundry_view,status changed,2022-03-06 13:23:36.763000+00:00,waiting,busy,
laundry_view,status set,2022-03-06 13:23:06.299000+00:00,busy,,
laundry_view,status set,2022-03-06 12:45:29.742000+00:00,busy,,
button,pressed,2022-03-06 01:17:46.749000+00:00,waiting,,
laundry_view,status changed,2022-03-06 01:06:50.460000+00:00,waiting,busy,
laundry_view,status set,2022-03-06 01:06:20.014000+00:00,busy,,
laundry_view,status set,2022-03-06 01:04:48.794000+00:00,busy,,
button,pressed,2022-03-06 01:04:31.113000+00:00,busy,,
laundry_view,status set,2022-03-06 01:04:18.166000+00:00,busy,,
laundry_view,status set,2022-03-06 00:29:16.696000+00:00,busy,,
button,pressed,2022-03-06 00:25:51.524000+00:00,waiting,,
laundry_view,status changed,2022-03-05 21:37:52.852000+00:00,waiting,busy,
laundry_view,status set,2022-03-05 21:37:22.422000+00:00,busy,,
laundry_view,status set,2022-03-05 20:59:49.098000+00:00,busy,,
button,pressed,2022-03-05 19:11:02.160000+00:00,waiting,,
laundry_view,status changed,2022-03-05 19:00:06.539000+00:00,waiting,busy,
laundry_view,status set,2022-03-05 18:59:31.124000+00:00,busy,,
laundry_view,status set,2022-03-05 18:21:57.738000+00:00,busy,,
button,pressed,2022-03-05 18:05:34.830000+00:00,waiting,,
laundry_view,status changed,2022-03-05 18:04:22.763000+00:00,waiting,busy,
laundry_view,status set,2022-03-05 18:03:52.338000+00:00,busy,,
laundry_view,status set,2022-03-05 17:26:17.430000+00:00,busy,,
button,pressed,2022-03-05 15:08:20.451000+00:00,waiting,,
laundry_view,status changed,2022-03-05 14:03:56.926000+00:00,waiting,busy,
laundry_view,status set,2022-03-05 14:03:26.510000+00:00,busy,,
laundry_view,status set,2022-03-05 13:26:17.443000+00:00,busy,,
button,pressed,2022-03-05 01:59:30.213000+00:00,Waiting,,
button,pressed,2022-03-05 01:23:45.533000+00:00,waiting,,
button,pressed,2022-03-05 01:14:54.872000+00:00,waiting,,
laundry_view,status changed,2022-03-05 01:05:29.648000+00:00,waiting,busy,
laundry_view,status set,2022-03-05 01:04:59.152000+00:00,busy,,
laundry_view,status set,2022-03-05 01:03:24.796000+00:00,busy,,
